Game Title,Game Genre,Pricing,Publisher,Release Date,Platform,Rating,Number of Ratings
Fruit Hunter,"Casual, Free To Play",Free,"Nathanael Remstedt, Filip Unger",May 17 2021,n/a,80.0,52
Dagdrøm,"Adventure, Casual, Indie",$8.99,Eight Bit Skyline,May 19 2023,n/a,90.0,10
Arrog,"Adventure, Indie",$2.99,"LEAP Game Studios, Hermanos Magia",Jul 28 2020,n/a,88.0,153
PAKO - Car Chase Simulator,"Action, Indie, Racing",$2.99,Tree Men Games,Jan 10 2017,n/a,76.0,163
Yuzi Lims: Hentai,"Casual, Indie, RPG, Simulation",$0.99,Snkl Studio,Oct 30 2018,n/a,71.0,78
Blood Rage: Digital Edition,Strategy,$19.99,Endava,May 27 2020,n/a,57.0,447
Jennifer Wilde: Unlikely Revolutionaries,"Adventure, Indie",$15.99,Outsider Games,Oct 18 2022,n/a,84.0,13
Slapshot: Rebound,"Action, Casual, Indie, Sports, Free To Play",Free To Play,Oddshot Games,Apr 11 2024,n/a,82.0,11012
God Of Thunder,"Action, Adventure, Indie",Free,RDavis,Sep 30 1994,n/a,97.0,101
Mason: Building Bricks,"Indie, Simulation",$19.99,Telegmatic,Nov 9 2020,n/a,88.0,27
Arizona Rose and the Pharaohs' Riddles,"Casual, Indie, Strategy",$9.99,Anawiki Games,Jan 18 2017,n/a,72.0,11
Peninsular War Battles,Strategy,$9.99,HexWar Games,Sep 1 2017,n/a,60.0,23
Cavalry Girls,"Indie, RPG, Strategy",$9.99,中子星游戏研究所,Oct 20 2023,n/a,89.0,1435
Your Average Bear,"Action, Indie",Free,Your Average Studio,Apr 25 2023,n/a,95.0,156
10 Dead Doves Demo,Adventure,[],"Duonix Studios, Mark Byram II, Sean-Michael Millard",Oct 2 2022,n/a,100.0,18
Star Wars: Droid Repair Bay,"Adventure, Casual, Free To Play",Free To Play,ILMxLAB,Dec 6 2017,n/a,89.0,509
Hack Run ZERO,"Adventure, Indie, Simulation, Strategy",$2.99,i273 LLC,Jul 13 2015,n/a,95.0,21
The Legend of Tianding,"Action, Adventure, RPG",$19.99,"Creative Games Computer Graphics Corporation, Neon Doctrine",Nov 1 2021,n/a,95.0,2860
"FROM ASHES, BLOOM","Action, Casual, Indie, Simulation, Free To Play",Free To Play,Screenshakes,Mar 11 2024,n/a,92.0,537
element,"Adventure, Casual, Simulation, Strategy, Free To Play",Free,"BunnyCraft Studios, Inc.",Sep 28 2024,n/a,25.0,16
Nova: Space Armada,"Massively Multiplayer, Strategy, Free To Play",Free To Play,STONE3 PTE. LTD.,Oct 21 2024,n/a,50.0,20
Meow Pow,"Free To Play, Sports",Free To Play,Cheap Ramen Games,Mar 12 2021,n/a,85.0,56
RuneScape ®,"Massively Multiplayer, RPG, Free To Play",Free To Play,Jagex Ltd,Oct 14 2020,n/a,83.0,24161
Orienteering Simulator,"Simulation, Sports, Strategy",Free,MirageDeveloper,Jan 11 2024,n/a,88.0,18
Mystery Case Files: The Countess Collector's Edition,"Adventure, Casual",$9.99,Eipix Entertainment,Nov 27 2018,n/a,71.0,21
Blaster Master Zero 3,"Action, Adventure, Indie",$14.99,"INTI CREATES CO., LTD.",Jul 29 2021,n/a,89.0,376
My Furry Neighbour 🐾,"Adventure, Casual, Indie",$3.99,Dirty Fox Games,Aug 27 2021,n/a,82.0,171
Back again,"Adventure, Casual, Indie, Simulation",$1.99,Dexter Manning,Oct 12 2021,n/a,100.0,26
Chivalry 2,"Action, Massively Multiplayer",$39.99,Torn Banner Studios,Jun 12 2022,n/a,81.0,32551
Webcam Sex,"Adventure, Casual, Indie, Simulation",$1.99,LTZinc,Jan 20 2023,n/a,85.0,47
Beyond Flesh and Blood,"Action, Adventure, Casual, Indie, Simulation, Strategy, Early Access",$14.99,Pixelbomb Games,Jun 1 2016,n/a,47.0,17
Space Expedition,"Action, Adventure, Casual, Indie, Free To Play",Free,Mobirate,Jul 17 2023,n/a,93.0,152
BATYA,Indie,$2.99,R's Horrors,Jan 27 2020,n/a,76.0,21
Battles of the Ancient World,Strategy,$9.99,HexWar Games,Sep 15 2017,n/a,80.0,15
DYSMANTLE,"Action, Adventure, Indie, RPG, Simulation",$19.99,10tons Ltd,Nov 16 2021,n/a,91.0,9574
Unsolved Case,"Adventure, Casual, Indie, Free To Play",Free,Eleven Puzzles,Nov 24 2022,n/a,88.0,4914
Warchief,"Action, Indie, Strategy, Free To Play, Early Access",$24.99,Honikou Games,Jun 27 2024,n/a,66.0,24
Urban Rivals,"Action, Indie, Massively Multiplayer, RPG, Strategy, Free To Play",Free To Play,Acute Games,Jan 17 2006,n/a,65.0,599
Annie and the Art Gallery,"Indie, RPG, Free To Play",Free,jswessler,Apr 12 2022,n/a,85.0,163
Bridge Constructor Playground,"Casual, Indie, RPG, Simulation",$9.99,ClockStone,Jul 2 2014,n/a,74.0,120
Twin Mind: Nobody's Here Collector's Edition,"Adventure, Casual",$6.99,Do Games Limited,Nov 28 2022,n/a,76.0,13
Home Design | Floor Plan,"Simulation, Animation & Modeling, Design & Illustration, Education, Utilities",$14.99,Sebastian Kemper,Mar 23 2023,n/a,42.0,19
Throw It,"Casual, Indie, Strategy",$1.99,w,Nov 24 2020,n/a,40.0,10
FishOrChicken,"Action, Casual, Indie",$2.99,XXL,May 27 2024,n/a,100.0,15
The Better Deal - Part I,"Adventure, Indie",$7.99,zegamez,Jul 26 2024,n/a,70.0,34
Elden: Path of the Forgotten,"Action, Adventure, Indie, RPG",$15.99,Onerat Pty Ltd,Jul 9 2020,n/a,51.0,35
Gray Eyes of Death,"Adventure, Indie, RPG",$6.99,Hosted Games,Apr 21 2022,n/a,30.0,10
TBOT - Twitch Bot,"Free To Play, Animation & Modeling, Video Production, Game Development, Early Access",Free To Play,Live3D,Aug 29 2021,n/a,72.0,58
Capsa,"Casual, Free To Play, Indie, Massively Multiplayer, Racing, Simulation",Free To Play,"db.works, Vetron",Feb 3 2022,n/a,59.0,241
Rogue Legacy 2,"Action, Adventure, Indie, RPG",$24.99,Cellar Door Games,Apr 28 2022,n/a,90.0,13333
To The Capital,RPG,$1.99,Kormishenkov Anton,Dec 28 2016,n/a,61.0,34
Mindworks: The Great Division,Indie,Free,Kornyart,Nov 30 2022,n/a,81.0,11
Alchemic Cutie,"Adventure, Casual, Indie, RPG",$19.99,"Vakio, Viridian Software",Nov 11 2021,n/a,57.0,28
HackyZack,"Action, Indie, Sports",$9.99,Spaceboy Games,Mar 28 2017,n/a,100.0,28
"El Paso, Elsewhere",Action,$19.99,Strange Scaffold,Sep 26 2023,n/a,91.0,1099
Dawn of Warriors,"Action, Adventure, Indie, RPG",$4.99,Flame Spirit Software Studio,Oct 7 2016,n/a,55.0,20
Kitchen Crisis,"Casual, Indie",$14.99,Team Samoyed,Apr 2 2024,n/a,76.0,299
Easy Cat Timer,Utilities,Free,XuDaWang,Jul 2 2019,n/a,96.0,230
Gift of Parthax,"Action, Adventure, Indie",$6.99,Foldergeist Studios,Sep 12 2018,n/a,38.0,18
Zueirama,"Adventure, Casual, Indie",$6.99,Memes Games,Aug 6 2019,n/a,95.0,1209
GUNSHIP,Simulation,$0.99,Takumi Abe,Apr 9 2023,n/a,54.0,31
A Stroke of Fate: Operation Valkyrie,Adventure,$6.99,SPLine,Feb 13 2009,n/a,70.0,27
SPECTRE,"Action, Indie, Early Access",$9.99,Symbiosis Games,Jul 24 2023,n/a,57.0,69
Orrstead,"Indie, Simulation, Strategy",$12.99,IndividualKex,Mar 6 2024,n/a,82.0,63
Dollar King,"Casual, Indie, Strategy",$4.99,kan.kikuchi,Mar 27 2024,n/a,76.0,13
ABE VR,Adventure,Free,Hammerhead VR,Jun 23 2016,n/a,61.0,303
Goblin Auto Club Manager,"Indie, Simulation, Strategy",$9.99,Seaside Baboon,Jul 25 2024,n/a,90.0,31
C-RUSH,"Action, Indie",$1.99,Artnumeris,Feb 17 2014,n/a,21.0,32
Rhythm Rush!,"Action, Indie",$0.99,KFriske Studios,Apr 7 2017,n/a,68.0,147
BlackJack Math,Casual,$0.99,Heavy Sheep,Aug 20 2020,n/a,85.0,70
Waveform,"Adventure, Indie, Strategy",$1.99,Eden Industries,Mar 20 2012,n/a,83.0,1882
The logic of the miniature garden,"Adventure, Indie, RPG",$9.99,Cabbit,Jun 18 2019,n/a,86.0,469
Touhou MONEY STOCKS SHOPS,"Indie, Strategy, Early Access",$4.99,ikasumiyaki,Aug 20 2020,n/a,87.0,16
Raccoon Roller,"Action, Adventure, Indie, Racing",$14.99,Ribcat Games,Oct 22 2024,n/a,100.0,14
Community College Hero: Trial by Fire,"Indie, RPG",$4.99,Hosted Games,Dec 4 2015,n/a,85.0,244
Loot Slider,"Casual, Indie",$7.99,Retrofied Games,Jun 1 2021,n/a,100.0,16
Sokobond Express,"Casual, Indie",$14.99,"José Hernández, Draknek & Friends",Feb 22 2024,n/a,88.0,54
Mirage,"Action, Free To Play",Free,Cool Team,Jun 2 2023,n/a,68.0,19
SCP-087-B UE Remake,"Adventure, Indie",Free,Chris Korth,Dec 7 2023,n/a,74.0,27
Park Beyond,"Casual, Simulation, Strategy",$29.99,Limbic Entertainment,Jun 15 2023,n/a,61.0,711
Caligo,"Adventure, Indie",$0.99,Krealit,Sep 22 2017,n/a,74.0,939
Mystery P.I.™ - The Lottery Ticket,Casual,$4.99,SpinTop Games,Oct 16 2007,n/a,81.0,54
Crab Game,"Action, Casual, Free To Play, Indie, Racing",Free,Dani,Oct 29 2021,n/a,91.0,151437
Age of Invention,Casual,$2.99,Mirball Games,Jan 28 2013,n/a,59.0,44
Woodlock Manor,"Casual, Indie, Strategy",Free To Play,Ghoti Games,Jul 31 2022,n/a,96.0,32
Monster Racing League,"Casual, Racing, Strategy, Early Access",Free To Play,Flightless,Mar 23 2023,n/a,81.0,76
Arcane Maelstrom,"Action, Adventure, RPG",$3.99,YellowEgg game studios,Apr 14 2017,n/a,37.0,16
Steel Defier,"Action, Casual, Indie",$4.99,Viridino Studios,Mar 24 2023,n/a,90.0,11
The Stalin Subway,Action,$3.99,Orion Games,Oct 5 2006,n/a,61.0,607
March of Empires,"Massively Multiplayer, RPG, Strategy, Free To Play",Free To Play,Gameloft,Dec 11 2017,n/a,65.0,1583
Hoshizora no Memoria -Wish upon a Shooting Star- HD,"Adventure, Casual",$19.99,Favorite,Dec 18 2017,n/a,95.0,278
Street Cleaner: The Video Game,"Action, Indie",$14.99,Creaky Lantern Games,Jan 7 2021,n/a,95.0,44
NeverEnd,"Adventure, Indie",$1.99,Duck,Feb 16 2017,n/a,73.0,23
Square City Builder,"Indie, Simulation, Strategy",$1.99,codegamerstudio,Sep 7 2023,n/a,100.0,10
Miaou Moon,"Action, Casual, Indie",$4.99,"Stephane Valverde, Leslie Valverde",Aug 16 2016,n/a,45.0,11
Hyper Hentai Elf Attendant,"Casual, Indie, Strategy",$0.99,"GentleDriver, Puzzle L Porject",Apr 20 2023,n/a,100.0,32
Rescue Team 7,"Adventure, Casual, Indie, Strategy",$6.99,Nova Ideas,May 14 2017,n/a,94.0,35
Madness Cubed,"Action, Adventure, Indie, Massively Multiplayer, Simulation",$1.99,"epic dreams, diman production, nobodyshot",May 12 2016,n/a,77.0,933
Atelier Resleriana: Forgotten Alchemy and the Polar Night Liberator,"Adventure, Casual, RPG, Free To Play",Free To Play,KOEI TECMO GAMES,Jan 24 2024,n/a,53.0,2790
DRONE The Game,"Action, Indie, Racing, Simulation, Sports, Early Access",$19.99,Five Studios Interactive,Aug 1 2020,n/a,53.0,811
EMPTY SHELL,"Action, Adventure, Indie",$11.99,CC ARTS,Oct 16 2023,n/a,89.0,473
Fancy Rinshi Sensetion,"Adventure, Indie, Free To Play",Free,堀井ほりん,Mar 31 2024,n/a,80.0,21
Float Gallery,"Casual, Free To Play, Simulation",Free,Float Gallery,Jul 19 2017,n/a,70.0,20
Chernobyl Again,"Action, Adventure",$29.99,Vimagineo Sp. z o.o.,Sep 12 2024,n/a,78.0,14
Berserker's Descent,Action,$9.99,Rendah Games,Sep 18 2020,n/a,100.0,34
Dimetrosaur,Indie,$0.99,Grade 9 Games,Sep 8 2018,n/a,89.0,29
Children of the Nile: Alexandria,"Strategy, Simulation",$2.49,"Tilted Mill Entertainment, Inc.",Aug 28 2008,n/a,83.0,140
Tangent Rush,"Casual, Indie, Early Access",$3.99,JOIS Games,Sep 13 2021,n/a,100.0,13
Roman The Worm,"Action, Adventure, Casual, Simulation",$0.99,RadM,Jul 17 2018,n/a,85.0,21
百煉登神  Immortal Tales of Rebirth,"Action, Indie, RPG",$14.99,Bandage and Go Studio,Jan 25 2024,n/a,40.0,79
Xenogunner,Action,$14.99,Happy Frog Games,Apr 1 2020,n/a,100.0,20
The Devil's Calculator,"Casual, Indie, Strategy",$2.99,Christopher Cinq-Mars Jarvis,Jan 28 2019,n/a,96.0,85
Heroes of Spyria,"Indie, RPG",$4.99,Vesper Studios,May 26 2023,n/a,94.0,51
Fight'N Rage,"Action, Indie",$19.99,sebagamesdev,Sep 19 2017,n/a,92.0,2199
Fluid Engine PC Live Wallpaper,"Design & Illustration, Utilities",$3.99,3dm_live_wallpapers,Apr 1 2020,n/a,71.0,159
Final Space - The Rescue,Action,$14.99,Grab Games,Feb 2 2022,n/a,91.0,24
Cannonfire Concerto,"Adventure, Indie, RPG",$5.99,Choice of Games,Dec 8 2016,n/a,77.0,18
Subside,Simulation,$24.99,A2D Software,Sep 17 2024,n/a,98.0,276
OverDrift Festival,"Massively Multiplayer, Racing, Simulation, Sports",$9.99,OverDrift Crew,Dec 21 2022,n/a,80.0,1003
The Window Box,"Adventure, Indie",$12.99,Sundew Studios,Feb 19 2019,n/a,87.0,32
