Game Title,Game Genre,Pricing,Publisher,Release Date,Platform,Rating,Number of Ratings
Hentai Secrets,"Action, Adventure, Indie",$1.99,DarkLight Studio,Mar 20 2023,n/a,30.0,10
Wordeous,"Casual, Indie",$7.99,"Equitatus Studio, Junla Games",Aug 22 2022,n/a,88.0,18
Score a goal (Physical football),"Casual, Indie, Sports",$9.99,BulatHard,Dec 28 2016,n/a,67.0,241
Zup!,"Casual, Indie",$1.99,Quiet River,Oct 4 2016,n/a,94.0,8077
Alchemy Deck,"Casual, Indie, Simulation, Early Access",$9.99,Kajoo Games,Mar 18 2024,n/a,66.0,33
Crow Country,"Action, Indie",$19.99,SFB Games,May 9 2024,n/a,98.0,3550
Fantasy Survivors,"Action, Casual, Indie",$6.99,ButtonSoft,May 1 2024,n/a,91.0,156
Nancy Drew®: Last Train to Blue Moon Canyon,Adventure,$9.99,HeR Interactive,Oct 18 2005,n/a,96.0,312
Summer For You Demo,"Adventure, Indie, RPG",[],AniCore Team,Oct 12 2024,n/a,93.0,31
Rebirth! New Lover,"Casual, Indie, RPG",$8.99,次元边界,Aug 6 2024,n/a,86.0,348
Updog,"Casual, Indie",$4.99,"Moonflower Games, Jon Lamont",Jul 19 2022,n/a,100.0,17
电竞俱乐部/ESports Club,"Indie, Simulation, Sports, Strategy, Early Access",$8.99,"Hangzhou Xinlan Network Technology Co.,Ltd.",Jun 30 2017,n/a,51.0,1395
Funny Business with My Precious Coach (Anipuzzle Series),"Casual, Indie",$4.99,Almond Collective,Sep 24 2020,n/a,78.0,107
Rhino Runner,"Adventure, Casual, Indie",$0.99,"Tero Lunkka, Valkeala Software",Aug 18 2023,n/a,80.0,15
DuelVox,"Action, Casual, Indie, Strategy",$4.99,Piece Of Voxel,Jul 27 2020,n/a,86.0,22
Class of '09: The Re-Up,"Casual, Indie, RPG, Simulation",$14.99,SBN3,Jun 1 2023,n/a,98.0,3250
Fog of War: Book One,"Action, Adventure, Indie",$11.99,Story Machine Studios,Jun 9 2024,n/a,83.0,100
Tomboys Need Love Too!,"Casual, Indie, Simulation",$9.99,Zetsubou,May 12 2017,n/a,86.0,175
The Cat Games,"Action, Casual, Indie, Simulation, Sports",$1.99,M. Hanka,Mar 24 2017,n/a,89.0,836
AMBUSH tactics,"RPG, Early Access",Free,UPLN,Sep 26 2017,n/a,55.0,20
Endless Fables: The Minotaur's Curse,"Adventure, Casual",$14.99,Sunward Games,Dec 15 2016,n/a,90.0,195
Tee Time Golf,"Sports, Early Access",$9.99,Barkers Crest Studio LLC,Aug 31 2018,n/a,79.0,158
VERSUS: The Deathscapes,"Action, Adventure, Casual, Indie, RPG",$5.99,Choice of Games,May 27 2021,n/a,43.0,16
Lonely Skies,"Action, Adventure, Indie",Free,Suspension Games,Apr 26 2019,n/a,70.0,10
Armada 2526,Strategy,$14.99,Ntronium Games,Jun 10 2010,n/a,55.0,34
Breaking Lockdown,"Action, Adventure",$3.99,Lappi Soft,Jun 17 2020,n/a,88.0,25
Attack of the Karens,"Action, Indie",$4.99,Studio Primitive,Sep 25 2023,n/a,100.0,21
Operation DogFight,"Action, Casual, Indie, Simulation",Free,"Petricore, Inc.",Oct 13 2021,n/a,84.0,13
8Doors: Arum's Afterlife Adventure,"Action, Adventure, Indie",$19.99,Rootless Studio,Apr 7 2021,n/a,78.0,795
The Wonderful End of the World,"Casual, Indie",$9.99,"Dejobaan Games, LLC",Jan 25 2008,n/a,78.0,538
GHOSTWARE: Arena of the Dead,"Action, Adventure, Indie",$14.99,Daev Team,Jun 10 2024,n/a,84.0,122
Mortal Sin,"Action, Indie, RPG, Early Access",$19.99,Nikola Todorovic,Mar 15 2023,n/a,96.0,2413
Pets No More,Sports,$4.99,Purple Tree S R L,Jul 25 2021,n/a,52.0,17
Grim Legends: The Forsaken Bride,Casual,$14.99,Artifex Mundi,Feb 25 2014,n/a,95.0,955
Hitler Waifu,"Action, Adventure, Casual, Indie",$0.99,Who We Are Games,Aug 14 2023,n/a,94.0,444
Dawngrown,"Action, Adventure, Indie, RPG",$5.99,Hugimugi,Feb 14 2023,n/a,84.0,13
Rick and Morty: Virtual Rick-ality,"Adventure, Indie, Simulation",$29.99,Owlchemy Labs,Apr 20 2017,n/a,75.0,2069
Spaceteam VR,"Action, Casual, Indie",$12.99,Cooperative Innovations,May 21 2020,n/a,52.0,17
Lost in Play,"Adventure, Indie",$19.99,Happy Juice Games,Aug 10 2022,n/a,98.0,5470
Princess Evangile All Ages Version,Adventure,$34.99,MOONSTONE,Mar 27 2015,n/a,91.0,139
Cart To The End,"Action, Casual, Indie, Free To Play",Free To Play,ItsMylesDev,Jul 19 2024,n/a,77.0,141
Silicon Dreams  |  cyberpunk interrogation,"Adventure, Indie, Simulation",$16.99,"James Patton, Clockwork Bird",Apr 20 2021,n/a,93.0,199
Descenders,"Action, Racing, Sports",$24.99,RageSquid,May 7 2019,n/a,95.0,14400
Roxy Raccoon's Pinball Panic,"Action, Adventure, Casual, Indie, Simulation, Sports",Free To Play,Sinomod Studios,Mar 15 2022,n/a,94.0,52
War of Beach,"Action, Free To Play, Simulation, Strategy",Free To Play,LUCKY GIRLS LIMITED,Oct 15 2015,n/a,52.0,526
HoneyCome come come party,Simulation,$69.99,ILLGAMES,Sep 6 2023,n/a,67.0,137
Newt One,"Action, Adventure, Casual, Indie",$9.99,DevNAri,Sep 6 2019,n/a,75.0,28
GOD STARFIGHTER,"Action, Adventure, Casual, Indie, RPG",$4.99,Nerd Commando Game Studios,Feb 4 2020,n/a,85.0,34
Shutter Stroll,"Adventure, Casual, Indie, Simulation",$5.99,Jannik Boysen,Sep 6 2024,n/a,100.0,21
Confrontation,"Action, RPG, Strategy",$9.99,Cyanide Studio,Apr 4 2012,n/a,34.0,95
Feed the Pets Origins,"Casual, Indie",$9.99,"Volrest, Meine Liebe:3",Oct 1 2018,n/a,66.0,18
Corpse Party: Blood Drive,Indie,$19.99,"MAGES. Inc., 5pb.",Oct 10 2019,n/a,76.0,301
Billy's Nightmare,"Action, Adventure, Indie",$9.99,SantaGames,Oct 26 2023,n/a,100.0,26
Wizard's watch,"Action, Adventure, Casual, Indie",Free To Play,Benoit L'hoest,Jun 2 2023,n/a,77.0,22
Bridge Trek,"Indie, Simulation",Free,Another Planet,Mar 12 2018,n/a,80.0,25
WREST,Adventure,$19.99,Shaftesbury Lucid Inc,Jul 28 2020,n/a,61.0,21
Final Dusk,"Action, Adventure, Casual, Indie",$2.99,Light Echo,Dec 12 2014,n/a,76.0,194
Alone K.W.,"Adventure, Indie",$0.99,TeamWaterFly,Feb 29 2016,n/a,16.0,37
The Hurricane of the Varstray -Collateral hazard-,"Action, Indie",$9.99,Studio SiestA,Dec 21 2015,n/a,75.0,190
Jagged Alliance Flashback,"Indie, RPG, Strategy",$19.99,Full Control,Oct 21 2014,n/a,37.0,420
A Vampyre Story,Adventure,$9.99,"Autumn Moon Entertainment, Jordan Freeman Group",Dec 2 2008,n/a,70.0,196
Zooplop,"Casual, Indie",$2.99,Venturous,Dec 13 2023,n/a,92.0,14
Rolling Car,"Indie, Racing, Simulation",$0.99,SimpleSoft,Jul 20 2021,n/a,57.0,14
Expendable,"Action, Adventure",$3.99,Rage Software,May 15 1999,n/a,85.0,56
Gone with the Demon,"Action, Indie, RPG, Early Access",$14.99,BoyAndWitch Studio,Jan 25 2017,n/a,72.0,18
Pill Puzzle: One Move,"Casual, Indie, Simulation, Strategy",$0.99,Coffee Studio,Jul 29 2021,n/a,94.0,19
The Exorcist: Legion VR - Chapter 1: First Rites,"Action, Adventure, Casual, Simulation",$4.99,Wolf & Wood Interactive Ltd,Nov 22 2017,n/a,74.0,266
Papetura,"Adventure, Casual, Indie",$11.99,Petums,May 7 2021,n/a,92.0,965
Deitydead：Elder Trial,"Action, Adventure, Casual, Indie",$4.99,Amii Game,Apr 1 2024,n/a,72.0,11
Space Piercer,"Action, Indie, Free To Play",Free To Play,Objectif 3D,Mar 7 2022,n/a,100.0,22
Alan Sharp,"Adventure, Indie",$12.99,Mystive Studios,May 23 2021,n/a,75.0,58
Anoxemia,"Action, Adventure, Indie",$8.99,BSK Games,Jan 16 2015,n/a,50.0,36
The Incredible Adventures of Van Helsing,"Action, Adventure, Indie, RPG",$14.99,NeocoreGames,May 22 2013,n/a,83.0,7370
Onmyoji,"Adventure, RPG, Strategy",Free To Play,NetEase Games,Apr 18 2018,n/a,82.0,2927
7 Roses - A Darkness Rises,Casual,$5.99,Dragons Eye Studio,Aug 1 2020,n/a,72.0,18
Quarres,"Casual, Free To Play",Free,MOBSoft Funstuff Inc.,Mar 31 2020,n/a,75.0,12
Pixel Heroes: Byte & Magic,"Adventure, Indie, RPG",$9.99,The Bitfather,Feb 6 2015,n/a,78.0,287
Spacefighter Rukia,"Action, Indie, RPG",$0.99,AstroMonkey,Apr 27 2020,n/a,100.0,10
White Hell,"Action, Adventure, Indie, Early Access",$14.99,"Robert Raulus, Mikko Tamper, Antti Allén",Aug 12 2021,n/a,97.0,172
Fritz 18 Steam Edition,Strategy,$79.99,ChessBase GmbH,Mar 14 2022,n/a,56.0,30
Years of Division Demo,Strategy,[],"Cold Sap Games, LLC",Oct 9 2023,n/a,100.0,34
Soul's Spectrum,"Adventure, RPG, Strategy",$7.99,Thund Games,Oct 19 2023,n/a,90.0,22
Atlas Wept,"Action, Adventure, Casual, Indie, RPG",$7.99,Kbojisoft,Jan 16 2024,n/a,100.0,28
Terres,"Adventure, Early Access",$9.99,ingamemechanics,Jun 29 2024,n/a,76.0,13
Dead Mountaineer's Hotel,Adventure,$7.99,Electronic Paradise,Nov 27 2009,n/a,37.0,101
Phoenix Pro Theater Media Player,"Casual, Simulation, Education, Utilities, Video Production",$8.99,DP CORPORATION,Sep 2 2021,n/a,83.0,12
Love in the distance,Indie,$2.49,Level-Buster Studio,Feb 4 2021,n/a,63.0,268
Fastigium: Dead End,"Action, Adventure, Indie, Simulation",$4.99,ifgames studio,Mar 31 2017,n/a,68.0,16
Leaf Blower Revolution - Idle Game,"Casual, Indie, Free To Play",Free To Play,Humble North,Dec 4 2020,n/a,94.0,23880
Breakout: Recharged,"Action, Casual",$9.99,"Adamvision Studios, SneakyBox",Feb 10 2022,n/a,89.0,67
Hydraulic Empire,"Action, Casual, Indie, RPG, Simulation, Strategy",$7.99,Batholith Entertainment,Jul 31 2015,n/a,40.0,45
EcoGnomix,"Casual, Indie, RPG, Simulation, Strategy",$19.99,Irox Games,Sep 30 2024,n/a,77.0,155
Lonely Mountains: Downhill,"Action, Indie, Racing, Simulation, Sports",$19.99,Megagon Industries,Oct 23 2019,n/a,90.0,2268
Expect The Unexpected,"Casual, Indie, RPG, Strategy",$4.99,GoldenGod Games,Dec 8 2016,n/a,65.0,66
Where Jellyfish 水母在哪里,"Casual, Indie",Free,冷笑黑妖,Dec 21 2023,n/a,98.0,321
The Crust Demo,"Simulation, Strategy",[],VEOM Studio,Jan 23 2023,n/a,68.0,19
Shotengai 10,"Adventure, Indie, Simulation",$3.99,Chiara Games,May 30 2024,n/a,89.0,28
ViSP - Virtual Space Port,"Action, Casual, Indie, Strategy",$14.99,Visper Games,Feb 28 2019,n/a,88.0,25
Viridi,"Casual, Free To Play, Indie, Simulation",Free,"Zoe Vartanian, Badru, Isa Hutchinson, Michael Bell",Aug 19 2015,n/a,91.0,9156
Adventure of Leek,"Action, Adventure, Casual, Indie",Free,"plufmot, ProsciuttoMan, Connor Grail",Feb 23 2022,n/a,86.0,52
Class Reunion Chat Room,"Casual, Free To Play, Indie",Free To Play,RocRac,Feb 24 2023,n/a,79.0,175
Wrath of the Goliaths: Dinosaurs,"Action, Adventure, Casual, Indie, Simulation, Early Access",$9.99,Ascendence Studios,Sep 13 2018,n/a,6.0,15
Silent dream,"Action, Adventure, Indie, Free To Play",Free To Play,"Geukte, MadBee, Arkneru, DEVA",Jun 14 2021,n/a,78.0,192
Warpaint,"Casual, Indie, Strategy",$4.99,Adam Thompson,Mar 17 2017,n/a,69.0,23
Futapunk 2069,Adventure,$0.99,owlyboi,Dec 28 2022,n/a,66.0,18
Hold My Beer,"Action, Casual, Indie, Sports",$1.99,Lord of the Stack,Aug 2 2017,n/a,88.0,45
AKER FERN - Visual Novel,"Adventure, Free To Play, Indie, RPG",Free,Chaos Group Games,May 31 2020,n/a,80.0,110
Grimstone Survivors Demo,"Action, Adventure, Casual, Indie",[],Red Axe Games,Oct 10 2024,n/a,92.0,14
Chinbu's Adventure,"Action, Adventure, Indie, RPG",$4.99,Xefier Games Inc.,Jan 26 2018,n/a,49.0,61
The Spectral Web: Hitodama,"Action, Adventure, Indie",$2.99,Aevin Abstract,Nov 10 2023,n/a,100.0,18
Scott Whiskers in: the Search for Mr. Fumbleclaw,"Adventure, Indie",$14.99,Fancy Factory,Mar 20 2024,n/a,85.0,14
Weed Shop 3,"Casual, Indie, Simulation, Strategy",$19.99,Weed Games,Apr 20 2022,n/a,94.0,3638
Pills4Skills,"Action, Indie",$2.99,Petro Shoferystov,Jan 25 2016,n/a,80.0,10
Realms Of Bondage,"Casual, Simulation",$14.99,Pink Tea,Apr 11 2024,n/a,95.0,199
8-Bit Adventures 2,"Adventure, Indie, RPG",$19.99,Critical Games,Jan 31 2023,n/a,95.0,203
LASTFIGHT,"Action, Indie",$14.99,Piranaking,May 19 2016,n/a,78.0,64
Red Silhouette,"Action, Adventure",$6.99,Noah Lewin,Aug 15 2024,n/a,85.0,14
Gigachess,"Casual, Indie, Strategy",$3.99,Drixxel Soft,Dec 15 2015,n/a,84.0,78
MY HERO ONE'S JUSTICE 2,Action,$39.99,BYKING,Mar 12 2020,n/a,88.0,2754
BadMan,"Action, Adventure, Casual, Strategy",$0.99,"onlykemal, akmastertv",Feb 23 2023,n/a,100.0,11
Why God?,"Action, Adventure, Casual, Indie, Free To Play",Free To Play,"Juan Aday Siverio González, Twisted Drago",Sep 23 2024,n/a,90.0,10
Katie,Indie,$2.99,Lonely Frontier Studio,May 7 2018,n/a,88.0,25
Amazing Maze,Action,$2.99,Lucky Raccoon Games,May 1 2023,n/a,100.0,18
