Game Title,Game Genre,Pricing,Publisher,Release Date,Platform,Rating,Number of Ratings
Musicmenia,Strategy,$9.99,Symphonic Games,Sep 30 2024,n/a,100.0,19
TV Studio Story,"Casual, Indie, Simulation, Strategy",$8.99,"Kairosoft Co.,Ltd",Mar 6 2024,n/a,95.0,41
Oddworld: Abe's Exoddus®,Adventure,$2.99,Oddworld Inhabitants,Nov 17 1998,n/a,94.0,1373
NeoSprint,"Casual, Indie, Racing, Simulation",$24.99,Headless Chicken Games,Jun 27 2024,n/a,94.0,18
Black blood,Action,$4.99,Arcane Games,Mar 21 2020,n/a,71.0,39
From Glory To Goo,"Strategy, Early Access",$11.99,Stratagem Blue,Apr 2 2024,n/a,93.0,529
Farm Tribe 2,"Casual, Simulation",$6.99,CrioGames,Sep 22 2016,n/a,94.0,18
Robot Island,Indie,$2.99,New Beings,Jun 16 2020,n/a,100.0,29
Hello Neighbor Alpha 3,"Adventure, Indie, Strategy",Free,Dynamic Pixels,Oct 17 2019,n/a,78.0,1359
LUMBERMANCER,"Action, Adventure",$2.99,Roger von Biersborn,Jun 28 2016,n/a,75.0,20
Rugon - Unfinished,"Free To Play, Indie, Strategy",Free To Play,Glaucus Games,Feb 7 2021,n/a,57.0,14
Make Your Country Great Again,"Indie, Massively Multiplayer, Free To Play",Free To Play,A&A Infinite Games,Aug 24 2024,n/a,57.0,14
World Senate,"Action, Adventure, Free To Play, Massively Multiplayer, RPG, Simulation, Strategy",Free To Play,Tactigon Games Studio,May 9 2021,n/a,50.0,36
Sid Meier's Pirates! Gold Plus (Classic),"Adventure, Simulation",$6.99,"MicroProse Software, Inc",Jan 1 1987,n/a,61.0,85
Victoria II,Strategy,$19.99,Paradox Development Studio,Aug 30 2010,n/a,92.0,15666
The Legend of Gwen,"Action, Adventure, Casual, Indie",$9.99,_wiwigames,Feb 16 2023,n/a,91.0,12
CucumbeRunner,Action,$3.99,Crystal Bat Studio,Mar 6 2023,n/a,100.0,19
Blood of the Elves,"Action, Adventure, Indie, RPG, Early Access",$14.99,Naxion Games Interactive,May 26 2024,n/a,80.0,10
"Warhammer 40,000: Inquisitor - Martyr","Action, Adventure, Indie, RPG",$49.99,NeocoreGames,Jun 5 2018,n/a,75.0,17579
Heads Up! Phones Down Edition,Casual,$39.99,Aspyr,Nov 9 2023,n/a,46.0,13
Space Bob vs. The Replicons,"Action, Adventure, Casual, Indie, RPG",$14.99,Intravenous Software,Sep 28 2018,n/a,89.0,91
Cells of Immunity,"Free To Play, Indie, RPG",Free To Play,Nova Empyrean,Aug 20 2022,n/a,82.0,17
Vox Populi: Poland 2023,"Indie, Simulation, Strategy",$4.99,Velsin,Oct 6 2023,n/a,82.0,34
My Lovey-Dovey Demon,Casual,$10.99,ebi-hime,Jan 9 2024,n/a,93.0,15
My Furry Dictator 🐾,"Adventure, Casual, Indie",$4.99,Dirty Fox Games,Oct 8 2021,n/a,75.0,194
Oddworld: Soulstorm Enhanced Edition,"Action, Adventure, Indie",$39.99,Oddworld Inhabitants,Jun 21 2022,n/a,66.0,372
Undead Inc.,"Action, Simulation, Strategy",$19.99,Rightsized Games,May 2 2024,n/a,30.0,139
Miner Wars 2081,"Action, Adventure, Indie, RPG, Simulation",$4.99,Keen Software House,Nov 28 2012,n/a,34.0,224
Kogarashi,"Action, Adventure, Free To Play",Free,DigiPen Europe-Bilbao,Jul 2 2022,n/a,58.0,70
Nomori: Prologue,"Adventure, Indie, Free To Play, Early Access",Free To Play,Enchanted Works,Aug 17 2022,n/a,96.0,150
月白星斗-Lunar Glow Stellar Dance,"Adventure, Casual",$17.99,Jrock-studio,Jul 18 2024,n/a,82.0,23
Picture Perfect,"Casual, Simulation",$14.99,SuperWriter Games LLC,Aug 17 2020,n/a,74.0,252
Farmington Tales,"Casual, Simulation",$4.99,Playcademy,Jul 18 2017,n/a,93.0,43
Hero of the Kingdom II,"Adventure, Casual, Indie, RPG",$8.99,Lonely Troops,Feb 20 2015,n/a,94.0,1752
Jester / King,"Adventure, Casual, RPG, Simulation",$15.99,Rolling Crown,Sep 8 2021,n/a,93.0,78
Ship Regulus,"Adventure, Indie, RPG, Simulation, Strategy",$7.99,cuidong,May 17 2024,n/a,70.0,10
Death Elevator,"Action, Indie",$7.99,Games From The Abyss,Nov 15 2023,n/a,94.0,18
ShapeGrid,"Casual, Indie",$1.99,Matias Bontempo,Apr 4 2022,n/a,100.0,14
Silent Hope,"Action, RPG",$39.99,Marvelous Inc.,Oct 3 2023,n/a,67.0,205
Suzy Cube,"Adventure, Indie",$4.99,NorthernBytes Software,Jun 19 2018,n/a,85.0,343
Dare To Spread,"Casual, Simulation, Strategy",$1.99,Pointless Interactive,Apr 1 2023,n/a,60.0,10
StudioS Fighters: Climax Champions,"Action, Indie",$9.99,StudioS,Jun 17 2022,n/a,81.0,11
I got BLACKMAILED by a FUTANARI!,Adventure,$0.99,owlyboi,Apr 4 2024,n/a,50.0,10
IOX,"Action, RPG",Free,Ioxian Games Oy,Dec 23 2019,n/a,60.0,10
Blade Kitten,"Action, Adventure",$2.99,Krome Studios,Sep 22 2010,n/a,82.0,887
While the Iron's Hot,Adventure,$19.99,Bontemps Games,Dec 5 2023,n/a,83.0,114
Real Drift Multiplayer,"Action, Indie, Racing, Simulation, Sports",$0.99,Samet Acar,Jul 13 2023,n/a,56.0,16
Metal Ascension,Action,$7.49,Don Pachi,Jan 11 2024,n/a,41.0,12
Furry Survivals 18+,"Action, Adventure, Casual",$6.99,Octo Games,Nov 9 2022,n/a,69.0,53
Retro Drift,"Casual, Indie, Racing, Simulation, Sports",$0.99,Meng Games,Aug 12 2020,n/a,68.0,41
Farm Frenzy: Hurricane Season,"Casual, Indie, Simulation",$6.99,"Alawar Stargaze, Alawar Entertainment",Apr 1 2015,n/a,89.0,98
Guilty Gear Isuka,Action,$9.99,Arc System Works,Jun 20 2006,n/a,57.0,290
7 Years From Now,"Adventure, Indie, RPG",$9.99,fumi,Jun 17 2021,n/a,100.0,127
TSEROF,Adventure,Free,"Eojin KIM, Jaehun Jung, Hyeongjung KIM, Jiwon Park, Hongjun Lee",Feb 10 2024,n/a,81.0,11
SGS Korean War,"Simulation, Strategy",$29.99,Strategy Game Studio,Oct 27 2022,n/a,83.0,91
Game Store Simulator,"Indie, Simulation",$4.99,Pex Entertainment,Aug 20 2024,n/a,82.0,174
Darkstar One,Action,$8.99,Ascaron Entertainment ltd.,Aug 14 2006,n/a,82.0,530
BuildMoreCubes,"Action, Adventure, Casual, Indie, Strategy",$4.99,HA Studio Ltd.,Nov 21 2016,n/a,73.0,92
Cattie,"Action, Casual",$1.99,Vergiu,Nov 14 2023,n/a,94.0,57
Battlestar Galactica Deadlock,Strategy,$39.99,Black Lab Games,Aug 31 2017,n/a,86.0,2370
Luna's Light,"Adventure, Indie",$5.99,AmSus4Games,Feb 26 2024,n/a,72.0,22
Slave Princess Sarah,"Action, Casual, Indie, RPG",$14.99,StudioS,Dec 11 2020,n/a,79.0,99
World of Golf,"Casual, Indie, Simulation, Sports",$4.99,Krazy Studios,Oct 7 2016,n/a,50.0,16
GroundFall,"Action, Adventure, Indie, Simulation, Early Access",$9.99,Snow Creature,Sep 24 2022,n/a,61.0,26
Happy Day,"Action, Adventure, Indie, Simulation",$1.99,Kiddy,Jan 12 2021,n/a,22.0,18
After Shadows,"Action, Adventure, Indie",$14.99,Insidious Games,Oct 21 2021,n/a,54.0,11
Epic battles within 5 seconds!,"Action, Casual, Free To Play, Indie, Strategy",Free To Play,YFC games,Feb 8 2016,n/a,55.0,348
Miho Adventures,"Action, Adventure, Indie",$3.99,Pixel Miho,Aug 4 2022,n/a,36.0,22
Delta-G,"Action, Indie",Free To Play,Evols,Mar 16 2020,n/a,80.0,21
Sexy Sniper,"Action, Adventure, Casual, Indie, RPG, Simulation",$0.99,Guilty Pleasure Games,Apr 2 2021,n/a,74.0,50
Haunted Hotel II: Believe the Lies,"Adventure, Casual",$6.99,Special Bit,May 19 2017,n/a,35.0,14
Slidemagi,"Adventure, Indie, Strategy, Early Access",$7.99,BATOVI Games,Mar 13 2024,n/a,92.0,14
Romance of the Three Kingdoms XIII,Simulation,$59.99,"KOEI TECMO GAMES CO., LTD.",Jan 27 2016,n/a,56.0,5465
Deep Space Waifu: FANTASY,"Action, Casual, Indie, RPG",$4.99,Neko Climax Studios,Sep 27 2018,n/a,95.0,1053
Romancing The Kingdom,"Adventure, Casual, Indie, Simulation",$9.99,Jill Gates,Oct 28 2022,n/a,53.0,13
弹炸人2222,"Action, Adventure, Casual, Indie",$1.99,彼岸领域,Dec 7 2017,n/a,66.0,12
Bloodlines of Prima,"Action, Adventure, Free To Play, Indie, Massively Multiplayer, RPG",Free To Play,Amazastrophic,Mar 19 2020,n/a,54.0,75
HOTEL GREENWOOD,Indie,$9.99,Altered Games,Aug 10 2022,n/a,74.0,172
嗜血印 Bloody Spell,"Action, Adventure, Indie, RPG",$24.99,艺龙游戏,Jan 26 2022,n/a,89.0,29913
TRAUMA Broken Paradise,"Action, Adventure",$12.99,OneManOnly Studios,Mar 3 2023,n/a,81.0,27
Akai Katana Shin,Action,$29.99,"CITY CONNECTION, TAKE×0FF",Dec 14 2022,n/a,95.0,64
Parcel Corps,"Action, Adventure, Racing",$34.99,Billy Goat Entertainment Ltd,Oct 3 2024,n/a,62.0,50
On the Dragon Wings - Birth of a Hero,"Action, Adventure, RPG",$4.99,Queen Developer,Sep 8 2022,n/a,87.0,80
Shrine II,"Action, Free To Play, Indie",Free,"Scumhead, Mengo",Sep 22 2020,n/a,92.0,799
Fruit Arranger,"Casual, Indie",$0.99,Mihai Morosanu,Jan 23 2017,n/a,75.0,129
Ruiga Pirates: First Survivors,"Action, Adventure, Casual, Indie, Free To Play",Free,Valentware Games LTD,Apr 5 2024,n/a,62.0,59
Purplis Sandbox,"Indie, Simulation",$4.99,DRAGOLITE,Jan 14 2021,n/a,68.0,176
Just Spin,"Action, Casual, Indie",Free,Just Games Co.,Oct 25 2019,n/a,71.0,14
Last Rites,Action,$6.99,Ocean Software,Apr 13 2018,n/a,65.0,35
Mr.King Luo!Don't be kidding,Indie,$3.99,"艾斯貝洛, koloro",Feb 10 2020,n/a,68.0,35
Castle Of Secrets: Prologue,"Adventure, Indie, Free To Play",Free To Play,Serene Questworks studios,Nov 18 2022,n/a,76.0,334
Ring Runner: Flight of the Sages,"Action, Indie, RPG",$4.99,Triple.B.Titles,Jul 9 2013,n/a,85.0,564
Tenders Fight,"Action, Adventure, Indie, Racing",$4.99,"Isaac MENARD, Tom BOUTONNAT, Ethis CLAUSS, Gabriel SOUSSI",May 25 2023,n/a,100.0,24
Chicory: A Colorful Tale,"Adventure, Indie, RPG",$19.99,"Wishes Ultd., Greg Lobanov, Alexis Dean-Jones, Lena Raine, Madeline Berger, A Shell in the Pit",Jun 10 2021,n/a,97.0,2651
Forgetful Dictator,"Casual, Indie, Strategy",Free To Play,Please Know More,Sep 19 2019,n/a,91.0,112
Deity Quest,"Adventure, Indie, RPG, Strategy",$9.99,Fancy Fish Games,Jan 20 2015,n/a,60.0,10
Test Subject 901,"Free To Play, Strategy",Free To Play,SpinVR.ca,Sep 11 2018,n/a,80.0,46
Planet Diver,"Action, Indie",$3.99,Fabraz,Nov 30 2015,n/a,88.0,25
Supernatural Super Squad Fight!,"Action, Indie",Free To Play,Jonah Taylor,May 7 2019,n/a,78.0,14
WORLD END ECONOMiCA episode.03,"Casual, Indie",$12.99,Spicy Tails,Dec 21 2016,n/a,96.0,161
BELPAESE: Homecoming,"Adventure, Indie",$3.99,Fazz Brothers,Oct 16 2017,n/a,86.0,15
The Adventures of Eggbert,"Free To Play, Indie",Free,Lazernaut Games,May 31 2020,n/a,84.0,26
Pieces of Beauty,Casual,$1.99,Ma Ma Software,Sep 28 2021,n/a,94.0,19
Hentai Fantasy World,"Action, Adventure, Indie, RPG",$1.99,Who We Are Games,Nov 30 2022,n/a,81.0,11
Golden Treasure: The Great Green,"Adventure, Indie, RPG, Simulation",$19.99,Dreaming Door Studios,Jun 17 2019,n/a,96.0,530
Dreamcutter,"Action, Adventure",$14.99,Ten Pennyfingers,May 25 2023,n/a,69.0,43
Save the Earth,"Casual, Indie, Simulation, Strategy",Free To Play,GameFirst,Jan 10 2023,n/a,82.0,115
Stable Orbit - Build your own space station,"Casual, Indie, Simulation, Strategy",$19.99,Jim Offerman,Sep 27 2017,n/a,52.0,274
"Grid Legion, Storm","Free To Play, Indie, Strategy",Free To Play,Wind Jester Games,Mar 11 2019,n/a,77.0,31
Eronoctosis: Put Yourself Together,"Action, Adventure, Indie, Free To Play",Free To Play,Dream Toaster Games,Oct 10 2021,n/a,91.0,1746
ROBOCOCK,"Action, Casual, Indie",$3.99,Slippy Floor,Mar 29 2023,n/a,72.0,11
Metapilot,"Racing, Simulation",$19.99,"neurobotx, www.neurobotx.ai",Jul 25 2023,n/a,72.0,11
DOKA 2 KISHKI EDITION,"Action, Adventure, Casual, Indie, RPG, Simulation",$0.99,Agafonoff,Nov 5 2018,n/a,84.0,3164
Cthulhu Saves the World,"Indie, RPG",$2.99,Zeboyd Digital Entertainment LLC,Jul 13 2011,n/a,91.0,2924
Starlite: Astronaut Rescue - Developed in Collaboration with NASA,"Adventure, RPG, Simulation",$2.99,Project Whitecard Studios Inc.,Jan 27 2014,n/a,36.0,177
Pizzapocalypse,"Action, Adventure, Casual, Indie, Free To Play",Free To Play,Funny Rock Image,Oct 8 2024,n/a,96.0,129
1001 Jigsaw. Legends of Mystery,Casual,$4.99,Somer Games,Dec 24 2018,n/a,72.0,22
Jack Holmes : Master of Puppets,"Action, Adventure, Indie",$14.99,@TonyDevGame,Apr 26 2024,n/a,81.0,60
iBLiS,"Action, Adventure, Indie, Simulation",$9.99,Bulut ULU,Apr 16 2021,n/a,43.0,515
Dreamscape Abyss,"Adventure, Casual, Indie, Free To Play",Free To Play,Studio B71G,Nov 10 2023,n/a,90.0,32
DRAGON QUEST TREASURES,"Action, Casual, RPG",$49.99,"Square Enix, TOSE CO., LTD.",Jul 14 2023,n/a,77.0,206
Blastocitos,Indie,$4.99,REACTORJOY,Mar 2 2022,n/a,100.0,11
Micro Miners,"Casual, Indie, Simulation, Strategy",$0.99,Steedie,Oct 28 2017,n/a,60.0,10
Stranded B,"Action, Adventure, Indie, Simulation",$24.99,S GameTime,Oct 27 2022,n/a,41.0,12
Strip Fighter ZERO,"Action, Casual, Indie",$12.99,StudioS,Apr 7 2023,n/a,50.0,16
VRZ: Torment,"Action, Adventure, Indie, RPG",$9.99,StormBringer Studios OU,Jun 9 2016,n/a,69.0,188
Deceived by the Host,"Adventure, Indie, RPG",$9.99,Seiheiki Times,Nov 18 2023,n/a,58.0,12
Pretty Girls Four Kings Solitaire,Casual,$4.99,Zoo Corporation,Mar 17 2022,n/a,70.0,10
Furry Sex 2,"Adventure, Casual, Indie, Simulation",$1.99,LTZinc,Jan 13 2023,n/a,83.0,59
Entity Researchers,"Indie, RPG",$9.99,Newbuild-C,Mar 2 2022,n/a,90.0,55
ZRoll,"Action, Adventure, Casual, Indie",$0.99,"KxONE, Andrew Drumov, starmops",Apr 17 2017,n/a,60.0,130
Ding Dong Dang,"Action, Casual, Massively Multiplayer, Free To Play, Early Access",Free To Play,Brilliant Sense Technology Limited,Jun 17 2024,n/a,97.0,48
Newton's Cradle Puzzle Game,"Casual, Indie, Strategy",$0.99,Peter Hijma,Jun 10 2020,n/a,80.0,20
Morkredd,Indie,$19.99,Hyper Games,Dec 10 2020,n/a,71.0,132
All of Us Are Dead...,Adventure,$19.99,IKINAGAMES,Nov 29 2023,n/a,92.0,28
Age of Gladiators Reforged,"Simulation, Strategy",$7.99,Creative Storm Entertainment,Mar 27 2023,n/a,50.0,28
HoloCure - Save the Fans!,"Action, Adventure, Casual, Indie",Free,KayAnimate,Aug 16 2023,n/a,99.0,31664
Fantasy Fishing Town,"Adventure, Casual, Indie, Simulation",$6.99,RainbowStudio,May 9 2022,n/a,86.0,58
Streets of Rage,Action,$0.99,SEGA,Jan 26 2011,n/a,100.0,13
Awake,"Casual, Free To Play, Indie, Strategy, Early Access",Free,"Keba Etzioni, Evan Duffy, Graham Newman, Nhi Lam, Amanda Ogletree, Rafi Hardadi, Seqouyah Stinson, Jason Castleberry, Jacob Taylor, Carlton Lee Ho Yin, Zachary Dion, Kevin Le Pham, Charles Brooks, Skylar Mims, Dhara J. Patel, Jack S. Vanden, Dejion Andrews, Zoe Peller, Yijun Ling, Alwyn Syazwan Tay",Jun 10 2022,n/a,82.0,17
CASE: Online - Unofficial Fan Game,"Action, Indie, Free To Play",Free To Play,"Yae Schlommo, E11NTC",Apr 9 2024,n/a,63.0,721
Tsukai Furushita Kotoba Ya Uta Wo MV,Free To Play,Free To Play,TaroSanseiShokai,Oct 19 2019,n/a,81.0,27
Tanki Online,"Action, Massively Multiplayer, Free To Play",Free To Play,Alternativa Game Ltd.,Mar 2 2017,n/a,61.0,6352
CRIMSON METAL Classic 1999,"Action, Adventure, Indie, Simulation",$4.99,Madbox Entertainment,May 5 2017,n/a,50.0,265
Settlemoon,"Casual, Indie, Simulation",$14.99,Lepioid LLC,Jul 31 2023,n/a,89.0,192
Glypha: Vintage,"Action, Indie",$3.99,John Calhoun,May 15 2023,n/a,100.0,12
The Moonstone Equation,"Adventure, Indie",$9.99,Andy Buck,Aug 20 2018,n/a,71.0,21
Foxen Island,"Adventure, Casual, Indie, Early Access",$8.99,gamingyourway,Mar 18 2021,n/a,81.0,22
V696,"Action, Adventure",$3.99,Veysel Çınar,Jan 11 2022,n/a,65.0,94
Creatures Inc,"Action, Indie, Simulation, Early Access",$14.99,Little Beavers Games,Mar 22 2019,n/a,58.0,124
Particulate,"Casual, Simulation",$9.99,Mike Turitzin,Dec 16 2019,n/a,100.0,11
Ooblets,"Adventure, Casual, Indie, RPG, Simulation",$29.99,Glumberland,Oct 5 2023,n/a,91.0,1146
Citadelum,"Indie, Simulation, Strategy",$24.99,Abylight Barcelona,Oct 17 2024,n/a,82.0,325
The Horror Of Salazar House,"Adventure, Indie",$3.99,Maldo19,Oct 15 2020,n/a,95.0,276
Werewolf: The Apocalypse — Purgatory,"Adventure, RPG, Simulation",$14.99,Different Tales,Jul 23 2024,n/a,76.0,56
Gnomes and Knights,"Action, Adventure, Indie, RPG, Simulation",$4.99,Terletski Games,Oct 3 2024,n/a,81.0,172
Hentai Miko,"Casual, Indie, Strategy",$0.99,htaidisgust,Mar 7 2023,n/a,94.0,17
Extreme Racing on Highway,"Casual, Indie, Racing, Simulation, Sports",$4.99,A Nostru,Mar 6 2019,n/a,76.0,76
OVERTOP,"Action, Adventure, Indie, RPG",$4.99,Performance Artist,Nov 10 2022,n/a,53.0,13
Tunnel of Doom,"Action, Adventure, Indie",$13.99,Antti Vaihia,Nov 23 2021,n/a,67.0,28
M.A.C.E. Tower Defense,"Action, Indie, Strategy",$2.99,EntwicklerX,Jul 16 2017,n/a,72.0,47
Natsuki's Life In Prison,"Casual, RPG, Simulation",$12.99,"Kanoe, BananaKing",Nov 19 2021,n/a,70.0,401
4D Toys,"Indie, Simulation",$14.99,"mtb design works, inc.",Jun 2 2017,n/a,87.0,224
World League Baseball,"Casual, Indie, Simulation, Sports",$14.99,"HAEGIN Co.,Ltd.",Oct 13 2023,n/a,70.0,62
Hotel Anatolia,"Adventure, Indie, RPG",$0.99,Elven Workshop,Mar 20 2017,n/a,69.0,343
ArcheBlade™,"Action, Free To Play, Indie",Free to Play,CodeBrush Games,Apr 25 2014,n/a,73.0,7666
Draw It!,"Casual, Indie",$1.99,Antizero company,Apr 28 2018,n/a,80.0,62
Soviet Hentai,"Action, Adventure, Casual, Indie, RPG, Simulation",$0.99,Guilty Pleasure Games,Mar 5 2021,n/a,86.0,224
Battle Chess II: Chinese Chess,Strategy,$9.99,Interplay Entertainment Corp.,Jan 1 1991,n/a,90.0,10
Reign Of Kings,"Action, Adventure, Indie, RPG, Simulation",$9.99,Code}{atch,Dec 15 2015,n/a,57.0,11933
GLADOM - 2D PVP Free & Skill Based,"Action, Casual, Free To Play, Indie, Early Access",Free To Play,qugen®,Apr 21 2020,n/a,78.0,32
Squingle,"Casual, Indie",$19.99,Ben Outram,Jul 14 2021,n/a,100.0,13
Cube Link,"Casual, Indie",$4.99,Hannes Delbeke,Oct 23 2017,n/a,95.0,23
Villager's Biography,"Adventure, Casual, Indie, RPG, Simulation",$1.99,Yann Zunn,Jun 13 2018,n/a,70.0,78
Idling Idol,Simulation,$5.99,EXAMGAMES,Jan 6 2022,n/a,83.0,24
Knightfall,"Action, Adventure, RPG, Early Access",[],Static City Games,Sep 4 2017,n/a,100.0,13
Plexarium,"Action, Casual, Indie",$2.99,Parrott Studios,Sep 14 2017,n/a,100.0,10
Shattered Throne,"Indie, Strategy",$4.99,Checkmark Games,Nov 28 2016,n/a,80.0,25
CREEP RIDES,"Adventure, Casual, Simulation",$7.99,4 Fun Studio Inc.,May 30 2019,n/a,100.0,13
Tame It!,Adventure,$14.99,Manka Games,Mar 18 2022,n/a,85.0,507
Tearstone: Thieves of the Heart,"Adventure, Casual",$14.99,Dragonseye CY Limited,May 5 2022,n/a,90.0,11
SpaceInvasion,"Free To Play, Strategy",Free To Play,BITMEUP,Feb 24 2023,n/a,51.0,39
Lustful Professor,"Casual, Indie",$2.99,FAPTEAM,Jul 11 2022,n/a,21.0,14
Wars and Battles: October War,Strategy,$12.99,Battle Factory,Nov 28 2018,n/a,83.0,12
Find the Oil Racing Edition,"Adventure, Casual, Indie, Racing, Simulation, Sports",$4.99,new dev,Apr 1 2019,n/a,51.0,29
Amazing Adventures The Lost Tomb™,Casual,$4.99,SpinTop Games,Nov 5 2007,n/a,81.0,70
Stone Tales,"Adventure, Indie",$0.99,Yellow Worm Studios,Dec 11 2015,n/a,92.0,13
CosmoDreamer,Action,$7.99,あうとさいど,Oct 2 2020,n/a,99.0,109
Sakura Hime,"Casual, Indie, RPG, Simulation",$3.99,GirlGames,Oct 15 2021,n/a,92.0,1294
Refidenptio,"Action, Adventure, Indie, Early Access",$4.99,Nezashiron Games,Aug 4 2023,n/a,100.0,12
Clipbase - Clipboard History Manager,"Education, Utilities, Early Access",$11.99,"Clipbase Team, CenterPoint Gaming",Apr 18 2023,n/a,75.0,12
HAPPY SAIN† SHEOL,"Adventure, Indie",$10.99,122pxsheol,Sep 17 2024,n/a,82.0,90
Super Totally Ultimate Dad Showdown,"Action, Casual, Free To Play, Indie, Racing",Free,Sandalled Socks LLC,Mar 26 2021,n/a,77.0,377
Framed Wings,"Adventure, Indie, RPG",$3.99,Kodama Games,Aug 6 2016,n/a,88.0,17
Greedventory,"Action, Adventure, Indie, RPG",$19.99,Black Tower Basement,May 17 2023,n/a,78.0,179
Precision,"Indie, Strategy, Free To Play",Free To Play,Cenji,Aug 25 2023,n/a,85.0,14
Monkeys,"Casual, Simulation, Free To Play",Free To Play,Nepix,Aug 16 2024,n/a,47.0,48
Woman's body,"Casual, Indie",$2.99,Softened Cookie,Dec 6 2018,n/a,76.0,38
Call of Pixel : Close Quarters,"Action, Casual, Free To Play, Indie, Early Access",Free To Play,Moka,Jul 22 2019,n/a,58.0,41
Erannorth Renaissance,"Adventure, Indie, RPG, Simulation, Early Access",$9.99,Spyridon Thalassinos,Jul 25 2024,n/a,100.0,28
Island Tribe 3,"Adventure, Casual",$4.99,Qumaron,Mar 22 2018,n/a,81.0,16
The Answer Is 42,"Casual, Indie",$1.99,Mens Sana Interactive,Dec 12 2019,n/a,95.0,120
WW2 Rebuilder: Germany Prologue,"Adventure, Simulation",Free,Madnetic Games,Jul 26 2022,n/a,84.0,398
