Game Title,Game Genre,Pricing,Publisher,Release Date,Platform,Rating,Number of Ratings
Sid Meier's Starships,Strategy,$14.99,Firaxis Games,Mar 12 2015,n/a,49.0,1898
Concealed,"Adventure, Indie",$12.99,CASCHA GAMES,Nov 8 2023,n/a,78.0,41
8th Heaven,"Indie, Simulation, Early Access",$14.99,Cottage Club,Jul 29 2024,n/a,79.0,44
cloudphobia,"Action, Indie",$5.99,Marsbound,Dec 7 2016,n/a,87.0,16
Miner Lou,"Free To Play, Indie, RPG, Strategy",Free To Play,Fuzzy Code Studio LLC,May 30 2019,n/a,77.0,88
NUKITASHI 2,"Adventure, Casual",$24.99,Qruppo,Feb 15 2024,n/a,98.0,1347
Grimm: Dark Legacy,"Action, Adventure, Indie",$14.99,Artplant,Nov 2 2016,n/a,42.0,70
Lovebirb,"Free To Play, Indie, RPG, Simulation",Free,Anonymous Penguin Studio,Mar 14 2023,n/a,80.0,234
FIL,"Action, Adventure, Indie, RPG, Free To Play",Free To Play,"CartMart, KGamer1",Jul 31 2020,n/a,100.0,12
The Gravehouse,"Action, Adventure, Indie",$9.99,Nuwenu Studio,Jan 6 2023,n/a,75.0,16
BIG SHOTS,"Action, Adventure, Indie",$19.99,AlterEyes,Apr 17 2024,n/a,71.0,38
Neon Sundown,"Action, Indie",$4.99,Ben Nichols,Mar 18 2022,n/a,90.0,331
Project Cappuccino,"Adventure, Casual, Indie, Simulation",$14.99,Tentakero,Nov 15 2019,n/a,94.0,103
[REDACTED],Action,$24.99,Striking Distance Studios,Oct 27 2024,n/a,88.0,125
Malpractice,"Action, Adventure, Strategy",$7.99,SmiiggyB,Oct 29 2024,n/a,78.0,19
Mec Me Loffa,"Action, Casual, Indie, Free To Play",Free,Gli Smarmellati,Jun 10 2024,n/a,92.0,27
Dawn of a Soul,"Casual, Indie",Free To Play,Waldemar Umaniz,Oct 2 2017,n/a,89.0,29
Police Enforcement VR : 1-King-27,"Action, Adventure, Casual, Indie, RPG, Simulation, Early Access",$7.99,Karnage Gaming,Jun 8 2018,n/a,32.0,294
Final Bravely,"Action, Adventure, Indie, RPG",$3.99,Windam,Jan 5 2017,n/a,78.0,23
Hellbreaker,"Action, Indie",$7.99,Virhex,Feb 16 2018,n/a,69.0,13
AT SUNDOWN: Shots in the Dark,"Action, Casual, Indie",$14.99,Mildbeast,Jan 22 2019,n/a,60.0,30
ShyChess,"Action, Adventure, Casual, Indie, RPG",$1.99,Karosu-Maker,Jul 2 2018,n/a,85.0,35
Aeternum,"Action, Indie",$5.99,Creaky Lantern Games,Jul 18 2017,n/a,93.0,15
VR Hentai Cat,Simulation,$8.99,VISON STUDIOS,Nov 19 2020,n/a,88.0,18
Tahul,"Casual, Free To Play",Free,SCAD Students & Faculty,Aug 17 2020,n/a,83.0,12
Dungeon Rats,"Indie, RPG",$7.99,Iron Tower Studio,Nov 4 2016,n/a,77.0,547
Doxxed,Indie,$2.99,John Scarpias,Aug 30 2022,n/a,72.0,25
Empire Chronicles,"Adventure, Indie, RPG",$14.99,"Cris Litvin, Hoang Le",Sep 21 2023,n/a,90.0,22
Off-Road Paradise: Trial 4x4,"Action, Adventure, Casual, Indie, Racing, Sports",$19.99,Ivanovich Games,Dec 9 2016,n/a,61.0,75
Frederic: Resurrection of Music,"Action, Casual, Indie",$2.99,Forever Entertainment S. A.,May 16 2014,n/a,85.0,731
Hexguardian,Strategy,$11.99,Split Second Games,May 2 2024,n/a,79.0,494
OTTTD,"Indie, Strategy",$7.99,SMG Studio,Aug 6 2014,n/a,78.0,180
TD Worlds,"Indie, Strategy",$10.99,NewOldMax,Jan 9 2022,n/a,69.0,26
Furry Sniper,"Action, Casual",$0.99,ZC,Aug 2 2024,n/a,92.0,13
Deep in The Fear,"Indie, Simulation",$2.99,Theo Elion,Apr 11 2024,n/a,42.0,14
Eternity's Child,"Adventure, Indie",$4.99,"Luc Bernard, SilverSphereStudios",Jul 31 2008,n/a,14.0,57
All Idleness and Ephemera,Indie,$8.99,ebi-hime,May 5 2023,n/a,100.0,13
