Game Title,Game Genre,Pricing,Publisher,Release Date,Platform,Rating,Number of Ratings
Mycelium,"Adventure, Indie, RPG, Strategy",$5.99,Alex Grim,Oct 22 2024,n/a,100.0,12
Relic Keepers,"Action, Adventure, Indie",$0.99,Idea Cabin,Sep 12 2017,n/a,13.0,15
OUTBRK,"Action, Adventure, Simulation, Strategy, Early Access",$34.99,Sublime,Jun 28 2024,n/a,78.0,1132
Whipseey and the Lost Atlas,"Action, Adventure, Indie",$5.99,Daniel A. Ramirez,Aug 27 2019,n/a,62.0,24
TT Isle Of Man: Ride on the Edge 3,"Racing, Simulation, Sports",$49.99,Raceward Studio,May 11 2023,n/a,75.0,308
Telebbit,Action,$9.99,IKINAGAMES,Oct 23 2024,n/a,92.0,14
Mewing Simulator 🤫🧏🏻‍♂️,"Casual, Indie, Simulation",$0.99,Skibidi Toilet Games,Aug 2 2024,n/a,97.0,124
Shiren the Wanderer: The Tower of Fortune and the Dice of Fate,RPG,$19.99,"Spike Chunsoft Co., Ltd.",Dec 2 2020,n/a,78.0,672
PLEASE STOP CRYING,Action,$2.99,Konrad Pawlikowski,Mar 27 2024,n/a,95.0,70
"Resident Evil 2 ""R.P.D. Demo""",Action,[],"CAPCOM Co., Ltd.",Dec 12 2019,n/a,82.0,2102
Victoria,"Casual, Indie",$9.99,VIS-Games,Jan 1 2019,n/a,36.0,11
CORGI,Indie,$0.99,RealGame,May 28 2022,n/a,74.0,31
元素召唤 Summon Elemental,"Adventure, Casual, Indie, Strategy",$2.99,Fourteen,Nov 28 2023,n/a,89.0,47
The Legacy: The Tree of Might Collector's Edition,"Adventure, Casual",$9.99,FIVE-BN GAMES,Dec 23 2018,n/a,94.0,68
The falling tower,"Indie, RPG, Strategy",Free To Play,Carotaa,Jun 23 2020,n/a,53.0,13
The Sumerian Game,"Simulation, Strategy",Free To Play,HareSoft,Jul 15 2024,n/a,88.0,25
NASCAR Arcade Rush,Racing,$49.99,Team6 Game Studios,Sep 15 2023,n/a,45.0,11
Atomic Space Command,"Action, Simulation, Strategy, Early Access",$14.99,"No, You Shut Up Inc.",Oct 13 2016,n/a,27.0,11
Jewel Match Solitaire 2 Collector's Edition,"Casual, Indie",$12.99,Suricate Software,Apr 18 2019,n/a,96.0,29
Decaying Delicacy,"Adventure, Indie",$2.99,Yai Gameworks,Apr 29 2021,n/a,64.0,14
GUN KING,"Action, Casual, Early Access",$2.99,FROGBERT,Mar 3 2023,n/a,100.0,20
OutDrive,"Casual, Indie, Racing",$2.99,DNVR Prod,Feb 22 2016,n/a,78.0,3630
Hanoi Puzzles: Flip Match,"Casual, Indie",$2.99,Hanoi Studios,Oct 15 2021,n/a,100.0,18
wonShot,"Action, Casual, Indie",$0.99,Didactricks,Dec 2 2020,n/a,85.0,20
Live with Mary,"Casual, Indie",$10.99,Kissend,Apr 19 2023,n/a,79.0,93
Piecewise: build chat bots with blocks,"Utilities, Web Publishing, Early Access",$14.99,Piecewise Labs,Nov 2 2021,n/a,100.0,13
Gnome Jigsaw Puzzles,"Adventure, Casual, Indie, Strategy",$1.99,Boogygames Studios,Jan 29 2021,n/a,100.0,48
Guard of Wonderland,"Adventure, Casual, Indie",$7.99,Wonder Games,Nov 8 2018,n/a,85.0,47
Yars Rising,"Action, Adventure",$29.99,WayForward,Sep 9 2024,n/a,93.0,77
Abandoned: Chestnut Lodge Asylum,"Adventure, Casual",$6.99,Lazy Turtle Games,Apr 1 2012,n/a,80.0,31
ItazuraVR,"Adventure, Casual",$29.99,REAL,Oct 26 2018,n/a,78.0,38
The Little Acre,"Adventure, Indie",$12.99,Pewter Games Studios,Dec 13 2016,n/a,85.0,494
Trials of Ascension: Exile,"Action, Adventure, RPG, Early Access",$9.99,Dragonfire Entertainment,Jul 26 2018,n/a,47.0,46
Ninshi Masuta,"Action, Indie",$9.99,FVS Games,Oct 29 2021,n/a,100.0,14
Hellfire 1988: An Oregon Story,"Adventure, Indie",$0.99,MMG Company,May 11 2022,n/a,100.0,14
Country Road VR,"Casual, Simulation",$1.99,"Somun Immersive, Elder's Choice, Inc.",Mar 12 2020,n/a,40.0,10
Shop Tycoon The Boss,"Simulation, Strategy, Early Access",$4.99,JNA Game,Jul 31 2018,n/a,40.0,10
Not My Car – Battle Royale,"Action, Massively Multiplayer, Early Access",Free To Play,NMC Studios,Apr 5 2019,n/a,45.0,1345
Outshine,"Action, Indie",$12.99,Fishing Cactus,Nov 3 2022,n/a,90.0,54
Rex Rocket,"Action, Adventure, Indie",$0.99,"Castle Pixel, LLC.",Aug 5 2014,n/a,70.0,181
Girls Like Robots,"Adventure, Casual, Indie",$6.99,Popcannibal,Feb 14 2014,n/a,82.0,78
Bootlegger's Mafia Racing Story,"Casual, Indie, Racing, RPG, Simulation",$12.99,Geekon,Jan 2 2024,n/a,20.0,10
Prison Alone,"Adventure, Indie",$4.99,Gaister Studios,Sep 27 2024,n/a,88.0,25
