Game Title,Game Genre,Pricing,Publisher,Release Date,Platform,Rating,Number of Ratings
I commissioned some bees 9,"Casual, Indie",$1.99,Follow the fun,Nov 4 2022,n/a,96.0,28
Falsepine,"Action, Adventure, Indie, Free To Play",Free To Play,Voyager Softworks,Dec 1 2022,n/a,57.0,54
Xenociders,"Action, Adventure",$24.99,Donuts Co. Ltd.,Apr 22 2020,n/a,54.0,11
League of Maidens®,"Action, Adventure, Casual, Indie, RPG, Strategy, Free To Play, Early Access",Free To Play,Maiden Gaming Inc.,Feb 25 2021,n/a,55.0,6763
HOLOSAGA: Invasion of the HoloX,"Casual, Indie, RPG, Strategy, Free To Play, Early Access",Free,Team SEONGWON,May 1 2024,n/a,90.0,64
Howl,"Adventure, Indie, Strategy",$9.99,Mi'pu'mi Games GmbH,Nov 14 2023,n/a,100.0,40
Stillwater,"Adventure, Casual, Indie",Free To Play,Studio Clump,Sep 6 2022,n/a,94.0,154
Game Soup,"Action, Casual, Indie",$2.99,Game Soup LLC,Feb 11 2019,n/a,93.0,87
Ciel Fledge: A Daughter Raising Simulator,"Indie, Simulation",$9.99,Studio Namaapa,Feb 20 2020,n/a,66.0,95
Unicorn Dungeon,"Adventure, Indie",$4.99,Stand Off Software,May 24 2018,n/a,95.0,20
Wild Pussies,"Casual, Indie",$0.99,Cyber Keks,Nov 16 2021,n/a,71.0,14
Dark Sauce,"Adventure, Indie",$19.99,Artalasky,Dec 21 2018,n/a,64.0,28
Kazakh Drive,"Indie, Racing, Simulation",$1.99,Mehsoft,Oct 18 2020,n/a,79.0,201
Apollyon: River of Life,"Action, Adventure, Indie, RPG, Strategy",$14.99,ThePlanarDanse,Mar 31 2021,n/a,91.0,24
Astronaut: The Moon Eclipse,"Action, Casual, Indie",$1.99,AppChu Indie Games,Dec 28 2018,n/a,100.0,12
Stonerid,"Action, Indie",$4.99,Enitvare,Dec 18 2013,n/a,68.0,158
TOKYO WARFARE,Action,$4.99,Pablo Vidaurre Sanz,Jul 29 2016,n/a,81.0,308
BLOCKPOST MOBILE,"Action, Indie, Massively Multiplayer, Free To Play, Early Access",$4.99,Skullcap Studios,Feb 18 2024,n/a,51.0,84
The Dead Sea Scrolls Adventure,"Adventure, Free To Play, Indie",Free,Cave3 Studios,Jun 13 2022,n/a,80.0,10
The Backrooms Deluxe,"Adventure, Indie, Free To Play",Free To Play,Lory Games,Feb 8 2024,n/a,35.0,431
Hockey Player VR,"Sports, Early Access",$4.99,Brosvision s.r.o.,May 8 2019,n/a,56.0,41
Mars Horizon,"Indie, Simulation, Strategy",$19.99,Auroch Digital,Nov 17 2020,n/a,84.0,2590
Hypnosis Card 2 Happy Life,"Casual, Indie, RPG, Strategy",$12.99,Naku Kinoko,Oct 25 2024,n/a,93.0,99
Avatar: The Last Airbender - Quest for Balance,Action,$49.99,Bamtang Games,Sep 22 2023,n/a,30.0,98
Linked Worlds,"Indie, RPG, Strategy",$14.99,NicoDiti,Mar 29 2023,n/a,100.0,24
Shadows of Kurgansk,"Action, Adventure, Indie, RPG, Simulation",$5.99,Yadon Studio,Dec 15 2016,n/a,63.0,189
Escape from Labyrinth,"Action, Indie, Massively Multiplayer",Free To Play,Dexied Games,Aug 30 2019,n/a,62.0,50
homebound,"Casual, Indie, Free To Play",Free,Justin Yip,Sep 22 2023,n/a,90.0,52
StrangePool,Indie,$3.99,KomeFukuro,Oct 22 2024,n/a,88.0,17
Dreams in the Witch House,"Adventure, Indie, RPG",$10.99,Atom Brain Games,Feb 16 2023,n/a,93.0,242
Battle Craft,"Adventure, Massively Multiplayer, Strategy",$10.99,Yaremchuk,Jul 31 2023,n/a,88.0,18
纸境英雄 Papercraft,"Adventure, Indie, RPG, Strategy",$17.99,Overture,Apr 11 2019,n/a,83.0,222
Solanaceae: After All,"Casual, Indie, Simulation, Early Access",Free To Play,DarkChibiShadow,Oct 6 2022,n/a,100.0,44
Emily Wants to Play Too,"Action, Adventure, Indie, Simulation, Strategy",$7.99,Shawn Hitchcock,Dec 13 2017,n/a,82.0,441
Just A Dream,"Action, Free To Play, Indie",Free To Play,The Hyper Carries!,Oct 31 2017,n/a,81.0,74
Space Simulator,"Simulation, Early Access",$9.99,Stuka Games Inc,Feb 26 2018,n/a,36.0,156
Hidden World of Art 2,"Adventure, Casual, Indie",$3.99,Meridian93 Studio,Nov 29 2019,n/a,58.0,12
Fright Light,"Action, Indie, Simulation, Strategy",$0.99,Chris Antoni,Aug 26 2016,n/a,76.0,38
ReDrawn: The Painted Tower Collector's Edition,"Adventure, Casual",$13.99,Friendly Fox,Nov 12 2021,n/a,75.0,20
Warframe,"Action, RPG, Free To Play",Free To Play,Digital Extremes,Mar 25 2013,n/a,87.0,597573
Eldest Souls,"Action, Adventure, Indie, RPG",$19.99,Fallen Flag Studio,Jul 29 2021,n/a,77.0,2410
SysAdmin Odyssey. Back to the office Demo,"Adventure, Indie, RPG, Simulation",[],Molodoy-GameDev,Oct 13 2024,n/a,90.0,10
Lizard,"Action, Adventure, Indie",$9.99,Brad Smith,Feb 6 2018,n/a,84.0,13
Metaball,"Action, Casual, Indie, Sports, Free To Play",Free To Play,Bucketplay Inc.,Mar 7 2024,n/a,66.0,255
Echo Point Nova,"Action, Adventure, Indie",$24.99,Greylock Studio,Sep 24 2024,n/a,99.0,2399
Scribble Space,"Action, Casual, Indie",$1.99,Coty Getzelman,Jun 1 2015,n/a,49.0,57
Call of Duty®: Black Ops II,Action,$59.99,Treyarch,Nov 12 2012,n/a,86.0,20117
GENBA no Kizuna,"Adventure, Indie",$24.99,Gosatsu Visual Novels,Aug 26 2024,n/a,92.0,14
Playing History - The Plague,"Adventure, Casual, Indie",$4.99,Serious Games Interactive,Nov 14 2012,n/a,82.0,45
Zombie Treasure Land,"Adventure, Casual, Strategy",$5.99,SG-game,Jul 16 2024,n/a,96.0,32
Havoc,"Action, Indie, Free To Play",Free To Play,Breakthrough Games,Jul 22 2024,n/a,64.0,1082
Omitted,"Action, Adventure, Indie",$4.99,PsychoRavens,Jul 29 2022,n/a,43.0,39
Archamon,"Indie, Strategy",$9.99,Vionsoft,Nov 24 2017,n/a,75.0,28
Until I Have You,Indie,$13.99,Wormwood Studios,Apr 4 2016,n/a,73.0,143
Bitslap,Indie,$6.99,Comrex AG,Sep 23 2016,n/a,95.0,24
Vapour,"Action, Adventure, Indie",$5.99,"Skobbejak Games, Skermunkel",Jul 3 2015,n/a,37.0,100
Esports Godfather,"Casual, Indie, RPG, Simulation, Sports, Strategy",$19.99,Asteroid Game Studio,May 23 2024,n/a,92.0,2529
This Grand Life 2,"RPG, Simulation, Strategy, Early Access",$16.99,Poking Water Games,Jun 20 2024,n/a,93.0,81
Planet Modular TD,"Indie, Strategy",$9.99,Gyro-Games Inc.,Dec 12 2019,n/a,60.0,10
Tlatoani: Aztec Cities Prologue,"Indie, Simulation, Strategy, Free To Play",Free,"Perspective Games, Bellwood Studios",Apr 29 2024,n/a,89.0,73
Incredible Dracula 3: Family Secret,"Adventure, Casual, Indie",$6.99,New Bridge Games,Jan 11 2017,n/a,100.0,21
Yet Another Fantasy Title (YAFT),"Action, Adventure, Indie",$19.99,Atomic Wolf,Apr 10 2024,n/a,57.0,114
LUXOR: Mah Jong,Casual,$9.99,MumboJumbo,Jul 13 2009,n/a,94.0,35
Paintball 707,"Action, Casual, Indie, Massively Multiplayer, Simulation, Sports",$5.99,Lotte|EoD,Jun 27 2018,n/a,43.0,44
COMPOUND,"Action, Indie",$19.99,Bevan McKechnie,Jul 19 2022,n/a,97.0,1946
Trancelation,"Action, Indie",$9.99,MythicOwl,Mar 12 2019,n/a,88.0,17
The Valiant,"RPG, Strategy",$24.99,KITE Games,Oct 19 2022,n/a,60.0,178
CLICKOLDING,Indie,$2.99,Strange Scaffold,Jul 16 2024,n/a,84.0,1075
Gumboy Tournament,"Casual, Indie, Racing",$2.99,CINEMAX GAMES,May 19 2008,n/a,71.0,303
AGENT 00111,"Adventure, Indie, Strategy",$5.99,"Shoker games, BURRIK",Jul 3 2019,n/a,63.0,11
Zone of Lacryma,"Action, Indie",$8.99,oophok,Jul 23 2018,n/a,80.0,25
Food Decisions,"Free To Play, Simulation",Free To Play,BP,Nov 2 2021,n/a,68.0,19
Halo Infinite,"Action, Free To Play",Free To Play,343 Industries,Nov 15 2021,n/a,70.0,173805
NEO Scavenger,"Indie, RPG, Strategy",$14.99,Blue Bottle Games,Dec 15 2014,n/a,89.0,4183
Frogun Encore,"Action, Adventure, Indie",$12.99,Molegato,Jun 25 2024,n/a,92.0,68
Parking Slide,"Casual, Strategy",$0.99,Guara Digital,Jul 26 2021,n/a,75.0,49
Vitamin Girl / ビタミンガール,"Action, Indie",$7.99,A Penguin Studio,Oct 11 2017,n/a,60.0,10
8 Ball,"Adventure, Indie",$0.99,One Buck,Mar 25 2018,n/a,76.0,59
Operation Food to Gold,"Casual, Indie, Simulation, Free To Play",Free To Play,Roxy Constantine,Mar 28 2024,n/a,58.0,80
Trapped Dead,"Action, Strategy",$4.99,Crenetic,Jul 15 2011,n/a,42.0,514
Red Moon: Survival,"Action, Adventure, Simulation",$13.99,WMG,Sep 30 2023,n/a,62.0,37
Armored Train,"Adventure, Indie, RPG, Simulation, Strategy",$0.99,NORSKA,Sep 12 2018,n/a,44.0,18
Hero Plus,"Free To Play, Massively Multiplayer",Free To Play,MGAME Corporation,Jan 22 2018,n/a,60.0,253
Faron's Fate,"Action, Indie, RPG",$0.99,Winter Drake Teller,Aug 14 2015,n/a,73.0,15
Running on Magic,"Action, Adventure, Casual, Indie",$4.99,Gusarapo Games,Jul 15 2022,n/a,86.0,30
Comanche,"Action, Simulation",$19.99,"NUKKLEAR, Ashborne Games",Aug 26 2021,n/a,52.0,286
Othello Let's Go,"Casual, Indie, Strategy",$1.99,Studio Amateur,Aug 19 2020,n/a,100.0,31
Aiball,"Action, Adventure, Casual, Indie, Massively Multiplayer, Racing, Sports, Early Access",$0.99,HFM Games,Jun 22 2016,n/a,51.0,140
Agarest: Generations of War 2,"Adventure, RPG, Strategy",$19.99,Idea Factory,Feb 19 2015,n/a,56.0,210
Princess Evangile W Happiness - Steam Edition,"Adventure, Casual",$34.99,MOONSTONE,Jul 28 2017,n/a,90.0,52
Magic City Detective: Rage Under Moon Collector's Edition,"Adventure, Casual",$6.99,Do Games Limited,Apr 10 2023,n/a,38.0,13
Yet Another Survival Game,"Action, Adventure, Casual, Indie, Racing",$1.99,RewindApp,Feb 28 2019,n/a,45.0,24
The story of archer,"Action, Adventure, Casual, Indie, RPG",$10.99,Enoops,Nov 9 2021,n/a,61.0,13
Combat Cat,"Action, Free To Play",Free,Brain Block,Apr 26 2024,n/a,88.0,34
True Mining Simulator,"Indie, Simulation, Early Access",$4.99,Boolba Entertainment,Jan 7 2021,n/a,72.0,68
The Quivering,Adventure,$3.99,Charybdis Ltd,Jan 28 2015,n/a,83.0,12
Raft,"Adventure, Indie, Simulation",$19.99,Redbeet Interactive,Jun 20 2022,n/a,93.0,278623
Fate/EXTELLA LINK,Action,$49.99,Marvelous Inc.,Mar 19 2019,n/a,93.0,3907
KUBOOM,"Action, Adventure, Free To Play, Indie, Massively Multiplayer",Free To Play,nobodyshot,Sep 9 2016,n/a,60.0,3766
Shadow Heroes,"Action, Indie, RPG",$3.99,Tower Games,Oct 10 2022,n/a,90.0,21
Life Forge - Reborn ORPG,"Casual, Free To Play, RPG",Free To Play,Life Forge Team,Mar 17 2017,n/a,67.0,356
The Occupation,"Adventure, Indie",$29.99,White Paper Games,Mar 5 2019,n/a,68.0,174
Threaded,Casual,$11.99,Tiny Little Lion,Feb 9 2022,n/a,100.0,17
UBERSLAUGHTER,"Action, Indie, Simulation",$9.99,BillyBobCletus,Sep 27 2024,n/a,100.0,19
Fono,"Casual, Indie",$5.99,Fono Labs,Jan 22 2021,n/a,100.0,10
Pixel Puzzle Makeout League,"Casual, Indie, Simulation",$14.99,Rude Ghost,Oct 30 2020,n/a,94.0,56
RED HOT VENGEANCE,"Action, Free To Play, Indie",Free,Bros Before Giraffes,Jul 11 2019,n/a,96.0,3322
Space Rangers HD: A War Apart,"Action, Adventure, RPG, Simulation, Strategy",$14.99,"SNK Games, Elemental Games, Katauri Interactive",Oct 17 2013,n/a,94.0,5147
燃爆英雄(Bomb Hero),"Action, Casual, Free To Play, Indie, Massively Multiplayer, RPG, Strategy, Early Access",Free To Play,37du game,Feb 22 2022,n/a,55.0,18
Campgrounds Adventures,"Action, Adventure, Casual, Indie, Strategy, Free To Play",Free To Play,Jumb-O-Fun Games,Jun 27 2024,n/a,80.0,15
Sanguine Soul,"Action, Adventure, Indie",Free,"Dead Level, Mitchelson Brooks, Louis McTague, Tony Cuni, Emilio Alban, Mary Ellis, Nicolas Witthoeft, Carly Hasson, Daniel Dabdoub, Dylan Rodrigues, Kaelee Feliciano, Joe Colombo, Elliott Bailey-Wills, Edwin Sanchez",Dec 6 2018,n/a,83.0,12
F.E.A.R.,Action,$54.99,"Monolith Productions, Inc., Timegate",Oct 17 2005,n/a,93.0,10785
Kombinera,Action,$14.99,"Graphite Lab, Joystick",Apr 7 2022,n/a,86.0,15
Valkyrie of Phantasm,"Action, Indie",$29.99,AREAZERO,Oct 18 2024,n/a,86.0,508
Hentai VR 3,Simulation,$8.99,Hentai VR Studios,May 13 2021,n/a,90.0,30
Sex Inspector 🚬💋,"Adventure, Casual, Simulation",$9.99,Dirty Adventures 🖤,Jun 22 2024,n/a,91.0,84
GOMA AYAKAZE,"Adventure, Indie, RPG",$13.99,Studio HOSHIWATARI,Mar 29 2024,n/a,88.0,27
Wheelborn Demo,"Action, Adventure",[],Alex Klexber,Aug 13 2024,n/a,92.0,13
Cherry Tree High Girls' Fight,"Indie, Simulation, Sports",$12.99,773,Jun 13 2016,n/a,74.0,59
The Music Machine,"Adventure, Indie",$4.99,David Szymanski,May 6 2015,n/a,89.0,405
Hentai: Memory leak II,"Casual, Indie",$0.99,Crew Lab,Feb 27 2020,n/a,82.0,39
Jewel Run,"Action, Casual, Indie, Free To Play",Free To Play,Cerbere Games,Oct 20 2023,n/a,84.0,32
Fabulous - Angela's Wedding Disaster,"Adventure, Casual, Strategy",$17.99,GameHouse,Apr 30 2018,n/a,80.0,57
The Icon Battles,Utilities,$5.99,Yenot Software,Sep 16 2022,n/a,92.0,26
Train Yard Builder,"Casual, Indie, Simulation",$19.99,GameFormatic S.A.,Sep 16 2024,n/a,71.0,56
Anime Girls: Sun of a Beach,"Action, RPG",$4.99,HALVA Studio,Mar 6 2024,n/a,90.0,33
Lucky Hero,"Casual, Indie, Strategy",$10.99,mora churrasco studio,Nov 16 2023,n/a,84.0,69
Muchi Muchi SEXTRA,Adventure,$6.99,ぬるぬる坊主,Mar 28 2024,n/a,94.0,51
ForeVR Bowl VR,"Casual, Sports, Strategy",$19.99,ForeVR Games Inc,May 24 2023,n/a,80.0,10
Vignettes,"Adventure, Casual, Indie",$7.99,Skeleton Business,Mar 6 2019,n/a,93.0,74
Car Crash Couch Party,"Casual, Free To Play, Indie, Racing, Sports",Free,Fogbound,Jan 31 2018,n/a,50.0,32
Mad Father,"Adventure, Indie",$9.99,sen,Sep 22 2016,n/a,97.0,4747
The Chronicles of King Arthur - Episode 1: Excalibur,"Action, Casual, Indie, Strategy",$4.99,e-FunSoft Games,Dec 23 2018,n/a,70.0,10
Meet the Miner - WDR VR Bergwerk,"Action, Adventure, Free To Play, Simulation",Free,Aesir Interactive,Sep 20 2018,n/a,83.0,49
Sensual Adventures - Episode 9,Casual,$17.99,Puppetmaster3dx,Jan 2 2024,n/a,68.0,16
Outburst,"Action, Free To Play, Indie",Free To Play,Have A Byte,Mar 7 2020,n/a,88.0,45
Björk Vulnicura Virtual Reality Album,"Indie, Simulation",$19.99,Analog Studios,Sep 5 2019,n/a,76.0,25
Blood Ties,"Adventure, Casual, Indie, RPG, Strategy",$3.99,Warfare Studios,Oct 21 2016,n/a,61.0,88
Unfortunate Spacemen,"Action, Indie, Strategy, Free To Play",Free To Play,"Geoff 'Zag' Keene, Deep Field Games",Jun 12 2020,n/a,86.0,7466
Open Wheel Manager,"Racing, Sports, Strategy",$9.99,Paprikash Games,Sep 20 2019,n/a,71.0,42
Iggle Pop Deluxe,Casual,$4.99,"PopCap Games, Inc.",Aug 30 2006,n/a,92.0,64
Nexus 5X,"Indie, RPG, Simulation, Strategy",$14.99,Whatboy Games,Apr 18 2024,n/a,92.0,773
Kitten Adventures in City Park,"Adventure, Indie",Free,Lokator Studio,Sep 8 2017,n/a,93.0,600
Dark Romance: The Swan Sonata Collector's Edition,"Adventure, Casual",$9.99,Domini Games,Oct 15 2018,n/a,75.0,12
Age of Empires II (Retired),Strategy,$19.99,"Skybox Labs, Hidden Path Entertainment, Ensemble Studios, Forgotten Empires",Apr 9 2013,n/a,95.0,82566
Danger Scavenger,"Action, Indie",$9.99,"Piotr Wolk, Star Drifters",Mar 25 2021,n/a,69.0,308
The Red Beret 红色贝雷帽,"Action, Adventure, Indie, RPG, Simulation",$0.99,金戈兄,Dec 16 2023,n/a,100.0,18
Soul Searching,Indie,$9.99,"Talha Kaya, Kayabros",Feb 15 2017,n/a,90.0,243
The First Mountain,"Action, Indie",$0.99,liangxiegame,Oct 5 2022,n/a,92.0,13
SpaceChem,"Indie, Simulation",$9.99,Zachtronics,Mar 2 2011,n/a,95.0,2498
Rail Cargo Simulator,"Casual, Simulation",$2.99,United Independent Entertainment,Jun 7 2016,n/a,29.0,17
BlasterBeat,"Action, Indie, Massively Multiplayer, Free To Play, Early Access",Free To Play,Muted Games,Jun 9 2023,n/a,80.0,874
Catch & Release,"Simulation, Sports",$19.99,metricminds GmbH & Co KG,Jun 7 2018,n/a,89.0,315
Knights of Pen and Paper +1 Edition,"Indie, RPG",$9.99,Behold Studios,Jun 18 2013,n/a,83.0,1817
Shop Manager : Video Game Tycoon,"Casual, Indie, Simulation, Strategy",$1.99,Faritengames,Mar 27 2019,n/a,76.0,64
Dream Quest,RPG,$9.99,Peter Whalen,May 15 2014,n/a,89.0,280
Deep Under,"Adventure, Indie",$4.99,WildOmul,Apr 10 2024,n/a,100.0,35
Euclidean,"Action, Casual, Indie",$4.99,Alpha Wave Entertainment,Sep 25 2015,n/a,65.0,185
Snacko,"Adventure, Indie, Simulation, Early Access",$24.99,Bluecurse Studios,Dec 6 2023,n/a,97.0,286
Imperium Galactica II,Strategy,$9.99,"Digital Reality, Gyroscope Games",Dec 1 1999,n/a,87.0,510
Mysteries Under Lake Ophelia,"Adventure, Casual",$4.99,Bryce Bucher,Dec 22 2021,n/a,91.0,188
TRAFFIC,"Action, Adventure, Indie",Free To Play,Laud Games,Sep 1 2022,n/a,82.0,121
Wintermoor Tactics Club,"Adventure, Indie, RPG, Strategy",$14.99,EVC Games,May 5 2020,n/a,88.0,476
Rikki & Vikki,"Action, Indie",$9.99,PenguiNet,Dec 26 2018,n/a,89.0,95
Winter Novel,"Casual, Indie, Simulation",$4.99,DeXP,Aug 10 2016,n/a,82.0,446
BattleStick 2,"Action, Casual, Free To Play, Indie, Massively Multiplayer",Free To Play,Noldo,Sep 24 2020,n/a,62.0,27
Vostok Inc.,"Action, Casual, Indie",$14.99,Nosebleed Interactive,Jul 26 2017,n/a,59.0,81
Default Dan,"Action, Casual, Indie",$5.99,Kikiwik Games,Jan 15 2015,n/a,88.0,45
100 hidden turtles,"Adventure, Casual, Indie",$3.99,Anatoliy Loginovskikh,Sep 3 2022,n/a,96.0,353
Solitaire Expeditions,"Action, Casual, Indie",$11.99,Quirky Porcupine,Jul 23 2022,n/a,98.0,64
The Impure,"Action, Adventure, Casual, Indie, Early Access",$4.99,Wingjoy Games,Aug 7 2018,n/a,87.0,32
Donut Arena,"Action, Casual, Indie",$2.99,Mario Ariano,Mar 17 2022,n/a,100.0,13
RainWidget,"Animation & Modeling, Design & Illustration, Utilities, Early Access",$3.99,RainySoft,Dec 6 2018,n/a,26.0,52
CometStriker DX,"Action, Indie",$14.99,Iced Lizard Games,Jun 8 2018,n/a,97.0,47
GET OUT!,"Casual, Free To Play, Indie, Strategy",Free To Play,Milpitians,Mar 2 2021,n/a,93.0,431
BloodDome Classic,"Action, Casual, Indie, Free To Play",Free,Halftone Gaming,Jun 26 2023,n/a,84.0,70
Shine's Adventures 0 (Zombies Reload),"Action, Adventure, Casual, Indie, RPG, Strategy, Early Access",$2.99,Louie,Jul 25 2020,n/a,84.0,25
Scheming Through The Zombie Apocalypse: The Beginning,"Adventure, Casual, Indie",$4.99,Entertainment Forge,Jun 8 2018,n/a,85.0,292
They That Feast,"Action, Adventure, Indie",Free,Blackwood Specter,Dec 28 2018,n/a,45.0,40
INVERSE,"Action, Indie",$14.99,MassVR LLC,Nov 3 2023,n/a,94.0,18
Between Two Worlds,"Adventure, Casual, Indie, Early Access",$14.99,Drooskati Games,Aug 12 2022,n/a,84.0,351
Big Red Hood: Halloween,"Adventure, Casual, Indie",$2.99,"7DOTS, Salamandra88",Oct 24 2019,n/a,65.0,58
Enter The Lost Chamber,"Action, Adventure, Indie",$3.99,Game Academy,Apr 16 2024,n/a,100.0,13
VARIOUS DAYLIFE,"Adventure, RPG, Strategy",$28.99,"Square Enix, DOKIDOKI GROOVE WORKS",Sep 13 2022,n/a,34.0,187
SherloCAT Holmes Nonogram,"Casual, Indie",$4.99,LUDO Thinking,Oct 7 2024,n/a,85.0,20
Glitch Arena,"Action, Indie, Early Access",Free To Play,Shock & Rockets Games,Jun 1 2019,n/a,95.0,61
Make Them Walk,"Indie, Strategy",$5.99,"Kushagra Pratap Singh, Timo Braun",Jul 30 2023,n/a,70.0,10
Di-Da-Dobble,"Casual, Indie",$2.99,Sokpop Collective,Feb 16 2022,n/a,100.0,20
Mystery Case Files: Madame Fate®,Casual,$6.99,Big Fish Games,Dec 14 2007,n/a,77.0,79
Dong-Jin Rice-hime（東津萌米）,"Adventure, Indie",$19.99,"STORIA, Narrator, SimonCreative",Apr 28 2017,n/a,89.0,349
Picrastination,"Casual, Indie",$9.99,Bearcat Games,Mar 12 2018,n/a,88.0,35
Slay the Minotaur,"Action, Adventure, Indie",$4.99,Cache of Bones,Feb 22 2024,n/a,94.0,150
Artificer: Science of Magic,"Adventure, Indie, RPG",$9.99,Psilocybe Games,Sep 10 2020,n/a,61.0,73
Slave's Sword 2,"Indie, RPG",$14.99,Circle Poison,Feb 21 2019,n/a,68.0,357
#CuteSnake 2,"Casual, Indie, Simulation",$0.99,Sunrise9,Apr 20 2018,n/a,87.0,24
Escape Master,"Adventure, Casual, Free To Play, Indie",Free,YASINWANG,Dec 23 2021,n/a,100.0,18
Versus: Battle of the Gladiator,"Action, Indie",[],Netker Inc.,Aug 26 2016,n/a,63.0,485
Nash Racing: Pursuit,"Casual, Indie, Racing",$0.99,"Tero Lunkka, Valkeala Software, Raciebug",Nov 30 2022,n/a,66.0,15
